Line,City 1,City 2,Capacity [MW],Length [km],Cost [â‚¬],Loss Factor [%]
88,Murcia,Seville,2189.658630928575,449.2979885607983,23102.962585711957,1.7250149248034574
89,Murcia,Valencia,6568.975892785725,228.10519023094668,11729.199350286328,0.8757770290357514
90,Bilbao,Zaragoza,8043.643950349867,315.0789253046757,16201.400425088344,1.2097001599820243
91,Bilbao,Lugo,7775.522485338205,430.765664943838,22150.02802991657,1.6538627370695522
92,Bilbao,Madrid,1698.1026117405274,386.7098491348174,19884.672096365382,1.484716776638285
93,Bilbao,Salamanca,8267.078504526251,353.0416047550028,18153.44647319924,1.3554524008213629
95,Zaragoza,Madrid,5094.307835221583,369.6532984242429,19007.621980539243,1.4192306064560953
96,Zaragoza,Valencia,10188.615670443163,314.40783988350694,16166.893123093196,1.2071236241487742
97,Zaragoza,Barcelona,15551.044970676408,246.3120872637049,12665.400427653944,0.945679788263479
99,Seville,Madrid,12646.3957663834,444.0715266629256,22834.217216811063,1.7049486769962363
100,Seville,Salamanca,11171.72770881926,520.9206970913481,26785.811825186647,2.0
101,Seville,Lisbon,6792.41044696211,451.5506949024749,23218.797046700885,1.7336638663957384
102,Lugo,Salamanca,12154.839747195354,312.89308805408655,16089.00438169501,1.201307952635324
103,Lugo,Porto,3396.205223481055,236.27679848395297,12149.384538159147,0.9071507421503727
104,Madrid,Valencia,8758.6345237143,314.8188982674788,16188.02980010318,1.2087018236185478
105,Madrid,Salamanca,25024.67006775514,242.46326328995676,12467.493384826255,0.9309027828757539
106,Salamanca,Porto,3172.7706693046694,255.3766913605824,13131.50358109843,0.9804820303225535
107,Salamanca,Lisbon,1698.1026117405274,429.03477374024106,22061.02537302793,1.6472172295546401
219,Porto,Lisbon,11707.970638842582,281.61891091997666,14480.88201608487,1.0812352532446692
