line,City 1,City 2,Capacity [MW],Length [km],Cost [â‚¬],Loss Factor [%]
1,,,1698.1026117405274,474.02928142083897,24374.64896799917,0.8740108740881517
2,,,2189.658630928575,186.3599382398453,9582.652916880636,0.34360875772865435
3,,,0.0,175.65043270190375,9031.96871162282,0.32386266890432647
4,,,2189.658630928575,359.6572490095156,18493.623784435324,0.6631327618343363
5,,,6792.41044696211,518.769048006004,26675.17374181682,0.9565016484605573
6,,,4379.31726185715,351.93828268540534,18096.713505006905,0.6489006019901785
7,,,16042.600989864455,605.5281463021048,31136.338164843582,1.1164672841478496
8,,,4379.31726185715,498.4812125857689,25631.97053460872,0.9190951221889152
9,,,491.5560191880474,581.2178453739341,29886.299243926125,1.0716441725883907
10,,,3887.761242669102,229.0068452983961,11775.562574291018,0.4222407367567784
11,,,5362.429300233244,274.87574031923987,14134.147283091928,0.5068133878606538
12,,,2681.214650116622,173.72532700128872,8932.979519355758,0.3203131765373922
13,,,2189.658630928575,257.5579364439293,13243.66349463878,0.4748829787159287
14,,,9473.625097078731,574.456646186002,29538.637478571472,1.0591779350715518
15,,,983.1120383760948,207.9833583459056,10694.532067031432,0.38347782288645543
16,,,6792.41044696211,230.73618283336697,11864.48534133139,0.4254292735619373
17,,,1698.1026117405274,568.4381325169018,29229.164701797617,1.0480810543538146
18,,,1698.1026117405274,357.9445137589513,18405.55470907674,0.6599748361700389
19,,,6792.41044696211,389.4777155427777,20026.99615677392,0.7181154665785059
20,,,1698.1026117405274,446.0189077099844,22934.35181036764,0.8223656020130171
21,,,27169.64178784844,587.7429632781736,30221.82167813931,1.083675125583359
22,,,9741.746562090397,482.3184923467806,24800.881301022822,0.8892944457383414
23,,,8267.078504526253,566.3508521543545,29121.836466751894,1.0442325458214536
24,,,6792.41044696211,535.4140855687788,27531.063796616203,0.9871916172022885
25,,,4379.31726185715,415.5716323168003,21368.748842727346,0.7662271927986414
26,,,6077.419873597677,379.591502515117,19518.645762364085,0.6998873569903636
27,,,4379.31726185715,692.0596122242678,35585.79770079702,1.2760132133361686
28,,,9473.625097078731,819.6446825753129,42146.23906012165,1.5112534046675496
29,,,3440.892134316332,347.98270854260704,17893.31735422776,0.6416073503925028
30,,,13584.82089392422,390.34518208922,20071.601402461765,0.7197148935004584
31,,,6792.41044696211,838.2138274680665,43101.06697083663,1.5454910249895242
32,,,3396.205223481055,851.0123941799792,43759.17098070145,1.5690889057901058
33,,,2010.9109875874665,337.41336882886964,17349.840494372842,0.6221196980389405
34,Murcia,,4379.31726185715,1084.7217019247953,55776.53480210767,2.0
35,Murcia,Porto,15059.48895148836,514.8976708074381,26476.10700915651,0.9493636384222289
36,,,3396.205223481055,614.3792227064511,31591.46169581666,1.1327868182525707
37,,,5585.86385440963,949.9825872363316,48848.23152736844,1.751569246841149
38,,,983.1120383760948,288.7487110151577,14847.497289325254,0.5323922449468553
39,,,3396.205223481055,385.4712490657682,19820.983115371804,0.7107283801582744
40,,,6792.41044696211,382.7704538356256,19682.10786388554,0.7057486784977468
41,,,1698.1026117405274,470.52245577038593,24194.32752463693,0.8675450208757927
42,,,6077.419873597677,182.7779941392176,9398.468872776652,0.33700440180165175
43,,,3396.205223481055,638.834616875822,32848.96133057712,1.1778774514093993
44,,,1698.1026117405274,464.7373691181766,23896.857596251077,0.8568785307669585
45,,,3396.205223481055,200.18385274356152,10293.480447158394,0.3690971654542235
46,,,2189.658630928575,466.3702175066649,23980.818878491,0.8598891617621545
47,,,4021.821975174933,239.6981318874075,12325.309958761294,0.4419532336489124
48,,,2681.214650116622,237.6143990619779,12218.164138548023,0.43811126603319667
49,,,3396.205223481055,364.37016128459896,18735.96236313621,0.6718223865864187
50,,,7283.9664661501565,511.75505310118297,26314.51318693315,0.9435693085020685
51,,,3396.205223481055,408.0139461584639,20980.13161096564,0.7522923998560358
52,,,5094.307835221583,480.0396152250767,24683.701135029198,0.8850926728455154
